"Période","Evénement","Description","Lien","Image","Coordonnees_geo","RefQR","QR posé au 18/08/15","Localisation","Photo panneau"
"1871","Le Séminaire Saint-Sulpice durement touché par les combats entre Communards et Versaillais (avril-mai 1871)","Pendant le 1er siège, des obus prussiens atteignent les jardins, mais sans faire trop de dommages. Les bâtiments souffrent bien davantage pendant la Commune, en avril et mai 1871.","http://issy.com/taxonomy/term/492/seminaire-saint-sulpice","http://data.issy.com/api/datasets/1.0/histoiredufort-feuille1/images/686c4c59fdf79ce8a0441bc199ed384e","48.825415, 2.276723","10","Oui","Panneau du séminaire","http://data.issy.com/api/datasets/1.0/histoiredufort-feuille1/images/3d085680079751cc834739435c4e3ae0"
"Avant 1840","Avant le Fort: un site viticole","Imaginiez-vous que sur les hauteurs où l’on bâtit le Fort d’Issy, poussaient de luxuriants pieds de vigne ?","http://issy.com/taxonomy/term/492/une-region-viticole","http://data.issy.com/api/datasets/1.0/histoiredufort-feuille1/images/0e07ed55f54aaf5a1d6328f7cdb89b82","48.816423, 2.267155","1","Oui","Panneau dans le Fort","http://data.issy.com/api/datasets/1.0/histoiredufort-feuille1/images/927bf662de12e1610aa8eee9d5b7a8ce"
"Après 1871","Le Fort en temps de paix après 1871","La guerre et la paix.","http://issy.com/taxonomy/term/492/le-fort-apres-1871","http://data.issy.com/api/datasets/1.0/histoiredufort-feuille1/images/27efc87472e958c9f05f371cfe871e66","48.8167777933, 2.27007718767","8","Oui","Panneau dans le Fort","http://data.issy.com/api/datasets/1.0/histoiredufort-feuille1/images/2050a40b66c3b31c63644e8eac69d06e"
"1870","Le parc du château des Princes de Conti, lieu stratégique pour défendre le Fort","Pendant les combats de 1870-71, le parc échappe aux vues du Fort en raison de la déclivité du terrain. Aussi est-il intégré au système de défense dès le premier siège à l'automne 1870.","http://issy.com/taxonomy/term/492/le-parc-henri-barbusse","http://data.issy.com/api/datasets/1.0/histoiredufort-feuille1/images/042392d6387b107629c7e1fbb0edc7fc","48.8205404, 2.266653","14","Oui","Panneau du parc Henri Barbusse (entrée du parc, côté rue Henri Tariel)","http://data.issy.com/api/datasets/1.0/histoiredufort-feuille1/images/50f70aed6bf037d45971d6d7d36c5554"
"1871","La guerre franco-prussienne : les combats contre les Prussiens (janvier 1871)","L’hiver glacial a pris ses quartiers, avec son quotidien ponctué de maraudes, de manœuvres isolées.","http://issy.com/taxonomy/term/492/la-guerre-franco-prussienne--les-combats-janvier-1871","http://data.issy.com/api/datasets/1.0/histoiredufort-feuille1/images/6617b8c7166a038785ec3dcd4e7d2dd2","48.8184379485, 2.26667614664","4","Oui","Panneau dans le Fort","http://data.issy.com/api/datasets/1.0/histoiredufort-feuille1/images/75bc424e12679bcd98bf78a9fb52af03"
"1840-1846","Construire un Fort pour protéger Paris (1840-1846)","La naissance du Fort d’Issy s’inscrit dans un contexte géopolitique extrêmement tendu. La France étudie ses défenses pour en améliorer l’efficacité.","http://issy.com/taxonomy/term/492/1840-1846--la-construction-du-fort","http://data.issy.com/api/datasets/1.0/histoiredufort-feuille1/images/866e7285eca6fd4f435d89fea7a06701","48.816023, 2.266481","2","Oui","Panneau dans le Fort","http://data.issy.com/api/datasets/1.0/histoiredufort-feuille1/images/c304433f7e4b1634843f212bacf43c51"
"1870","La guerre franco-prussienne: les préparatifs des combats contre les Prussiens (septembre-décembre 1870)","Un climat de « drôle de guerre ».","http://issy.com/taxonomy/term/492/la-guerre-franco-prussienne--les-preparatifs-du-siege-septembre-decembre-1870","http://data.issy.com/api/datasets/1.0/histoiredufort-feuille1/images/051ec14b98f966e2c621684ab1cc3d45","48.817622, 2.26661","3","Oui","Panneau dans le Fort","http://data.issy.com/api/datasets/1.0/histoiredufort-feuille1/images/e3208dd1949b4b9f9a676418eb602a14"
"Après 1871","Le Fort et l'évolution urbaine d'Issy","Difficile d’imaginer, lorsque l’on arpente les ruelles de l’ancien quartier du Fort, les batailles qui s’y sont déroulées.","http://issy.com/taxonomy/term/492/evolution-urbaine","http://data.issy.com/api/datasets/1.0/histoiredufort-feuille1/images/a7dd0c942049f69c99ebc9b45ff0a0b4","48.81815, 2.2711","7","Non","Panneau le fort, rue du fort",""
"1871","L'église Saint-Etienne sévèrement touchée par les combats entre Communards et Versaillais (avril 1871)","Alors que le 26 avril 1871 quelques canons sont postés sur la place à l’avant, l’église est sévèrement touchée par les bombardements.","http://issy.com/taxonomy/term/492/leglise-saint-etienne","http://data.issy.com/api/datasets/1.0/histoiredufort-feuille1/images/2ebf7b0336360d5d820211ae26726fc9","48.822905, 2.276801","12","Oui","Panneau l'église saint-Etienne",""
"1871","Le château des princes de Conti est détruit (mai 1871)","En mai 1871, un obus met le feu à l’intérieur de ce château du 17e siècle. Il fut démoli au début du 20e et était situé à l'emplacement actuel du Musée Français de la Carte à Jouer.","http://issy.com/taxonomy/term/492/le-musee-francais-de-la-carte-a-jouer","http://data.issy.com/api/datasets/1.0/histoiredufort-feuille1/images/0c23fef0261d8fe26cb6700b254c56ed","48.822618, 2.273486","13","Oui","Panneau château des princes de Conti, près du Musée",""
